Date/Time;Wind Direction (°);Wind_Speed (m/s);Theoretical_Power (KWh);Active_Power (kW);Error;Service;FaultMsg;Status Text
01 01 2018 00:00;260;5,311;416;380,05;0;FALSE;FALSE;Turbine in operation
01 01 2018 00:10;27;5,672;520;45,38;0;FALSE;TRUE;Insulation monitoring : Insulation fault Phase U2
01 01 2018 00:20;273;5,216;391;306,38;0;TRUE;FALSE;Maintenance
01 01 2018 00:30;271;5,66;516;419,65;0;FALSE;FALSE;Maintenance
01 01 2018 00:40;266;5,578;492;380,65;0;TRUE;FALSE;Maintenance
01 01 2018 00:50;26;5,604;499;402,39;0;FALSE;FALSE;Remote control PC : switched off
01 01 2018 01:00;266;5,793;557;447,61;0;FALSE;FALSE;Remote control PC : switched on
01 01 2018 01:10;258;5,306;415;0;0;TRUE;FALSE;Maintenance
01 01 2018 01:20;253;5,585;494;463,65;0;FALSE;FALSE;Generator heating : Hygrostat inverter
01 01 2018 01:30;26;5,523;476;439,73;0;FALSE;FALSE;Calibration of  load control
01 01 2018 01:40;252;5,724;536;498,18;0;FALSE;FALSE;Turbine starting
01 01 2018 01:50;266;5,934;603;526,82;0;FALSE;FALSE;Generator heating : Hygrostat inverter
01 01 2018 02:00;27;6,547;825;710,59;0;TRUE;FALSE;Maintenance
01 01 2018 02:10;267;6,2;693;655,19;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 02:20;27;6,505;808;754,76;0;TRUE;FALSE;Maintenance
01 01 2018 02:30;270;6,634;859;790,17;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 02:40;267;6,379;759;742,99;0;FALSE;FALSE;Turbine in operation
01 01 2018 02:50;266;0,645;79;748,23;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 03:00;26;6,415;773;736,65;0;FALSE;FALSE;Turbine in operation
01 01 2018 03:10;26;6,438;8;787,25;12;FALSE;FALSE;Lack of wind : Wind speed to low
01 01 2018 03:20;256;6,22;701;722,86;0;FALSE;FALSE;Turbine operational
01 01 2018 03:30;250;6,898;971;935,03;0;FALSE;FALSE;Turbine starting
01 01 2018 03:40;256;7,61;132;122,06;0;FALSE;FALSE;Turbine in operation
01 01 2018 03:50;255;7,288;115;105,38;0;FALSE;FALSE;Turbine in operation during maintenance
01 01 2018 04:00;256;7,943;150;149,38;0;TRUE;FALSE;Maintenance
